eta,xi,S_max,D_required,log2_D,memory_GB
0.300,0.008772,0.6316,1.88e+00,0.91,8.15e-05
0.330,0.009654,0.6951,2.00e+00,1.00,9.25e-05
0.360,0.010535,0.7585,2.14e+00,1.09,1.05e-04
0.390,0.011417,0.8220,2.28e+00,1.19,1.19e-04
0.421,0.012298,0.8855,2.42e+00,1.28,1.35e-04
0.451,0.013180,0.9490,2.58e+00,1.37,1.54e-04
0.481,0.014062,1.0124,2.75e+00,1.46,1.75e-04
0.511,0.014943,1.0759,2.93e+00,1.55,1.98e-04
0.541,0.015825,1.1394,3.12e+00,1.64,2.25e-04
0.571,0.016707,1.2029,3.33e+00,1.74,2.55e-04
0.602,0.017588,1.2663,3.55e+00,1.83,2.90e-04
0.632,0.018470,1.3298,3.78e+00,1.92,3.29e-04
0.662,0.019351,1.3933,4.03e+00,2.01,3.74e-04
0.692,0.020233,1.4568,4.29e+00,2.10,4.24e-04
0.722,0.021115,1.5202,4.57e+00,2.19,4.82e-04
0.752,0.021996,1.5837,4.87e+00,2.28,5.47e-04
0.782,0.022878,1.6472,5.19e+00,2.38,6.21e-04
0.813,0.023759,1.7107,5.53e+00,2.47,7.05e-04
0.843,0.024641,1.7742,5.90e+00,2.56,8.01e-04
0.873,0.025523,1.8376,6.28e+00,2.65,9.09e-04
